2023-02-28 04:50:46,631 -     INFO - searcharr(140475087877952):67 - Searcharr v3.2.1 - Logging started!
2023-02-28 04:50:46,753 -  WARNING - searcharr(140475087877952):121 - No valid Sonarr root folder(s) provided! Using all of the root folders I found in Sonarr: [{'path': '/home/some0nee/thicci/Shows/', 'freeSpace': 11646968762368, 'totalSpace': 15873736208384, 'id': 1}]
2023-02-28 04:50:46,770 -  WARNING - searcharr(140475087877952):217 - No valid Radarr root folder(s) provided! Using all of the root folders I found in Radarr: [{'path': '/home/some0nee/thicci/movies', 'freeSpace': 11646968762368, 'totalSpace': None, 'id': 3}]
2023-02-28 04:58:43,206 -     INFO - searcharr(140616673191744):67 - Searcharr v3.2.1 - Logging started!
2023-02-28 04:58:43,459 -  WARNING - searcharr(140616673191744):121 - No valid Sonarr root folder(s) provided! Using all of the root folders I found in Sonarr: [{'path': '/home/some0nee/thicci/Shows/', 'freeSpace': 11646968762368, 'totalSpace': 15873736208384, 'id': 1}]
2023-02-28 04:58:43,471 -  WARNING - searcharr(140616673191744):217 - No valid Radarr root folder(s) provided! Using all of the root folders I found in Radarr: [{'path': '/home/some0nee/thicci/movies', 'freeSpace': 11646968762368, 'totalSpace': None, 'id': 3}]
2023-02-28 04:58:43,540 -    ERROR - searcharr(140616673191744):434 - lidarr metadata profile id/name [] is invalid!
2023-02-28 04:58:43,540 -  WARNING - searcharr(140616673191744):441 - No valid lidarr metadata profile(s) provided! Using all of the metadata profiles I found in lidarr: [{'name': 'Standard', 'primaryAlbumTypes': [{'albumType': {'id': 2, 'name': 'Single'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Other'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'EP'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Broadcast'}, 'allowed': False}, {'albumType': {'id': 0, 'name': 'Album'}, 'allowed': True}], 'secondaryAlbumTypes': [{'albumType': {'id': 0, 'name': 'Studio'}, 'allowed': True}, {'albumType': {'id': 3, 'name': 'Spokenword'}, 'allowed': False}, {'albumType': {'id': 2, 'name': 'Soundtrack'}, 'allowed': False}, {'albumType': {'id': 7, 'name': 'Remix'}, 'allowed': False}, {'albumType': {'id': 9, 'name': 'Mixtape/Street'}, 'allowed': False}, {'albumType': {'id': 6, 'name': 'Live'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Interview'}, 'allowed': False}, {'albumType': {'id': 8, 'name': 'DJ-mix'}, 'allowed': False}, {'albumType': {'id': 10, 'name': 'Demo'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'Compilation'}, 'allowed': False}], 'releaseStatuses': [{'releaseStatus': {'id': 3, 'name': 'Pseudo-Release'}, 'allowed': False}, {'releaseStatus': {'id': 1, 'name': 'Promotion'}, 'allowed': False}, {'releaseStatus': {'id': 0, 'name': 'Official'}, 'allowed': True}, {'releaseStatus': {'id': 2, 'name': 'Bootleg'}, 'allowed': False}], 'id': 1}, {'name': 'None', 'primaryAlbumTypes': [{'albumType': {'id': 2, 'name': 'Single'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Other'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'EP'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Broadcast'}, 'allowed': False}, {'albumType': {'id': 0, 'name': 'Album'}, 'allowed': False}], 'secondaryAlbumTypes': [{'albumType': {'id': 0, 'name': 'Studio'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Spokenword'}, 'allowed': False}, {'albumType': {'id': 2, 'name': 'Soundtrack'}, 'allowed': False}, {'albumType': {'id': 7, 'name': 'Remix'}, 'allowed': False}, {'albumType': {'id': 9, 'name': 'Mixtape/Street'}, 'allowed': False}, {'albumType': {'id': 6, 'name': 'Live'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Interview'}, 'allowed': False}, {'albumType': {'id': 8, 'name': 'DJ-mix'}, 'allowed': False}, {'albumType': {'id': 10, 'name': 'Demo'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'Compilation'}, 'allowed': False}], 'releaseStatuses': [{'releaseStatus': {'id': 3, 'name': 'Pseudo-Release'}, 'allowed': False}, {'releaseStatus': {'id': 1, 'name': 'Promotion'}, 'allowed': False}, {'releaseStatus': {'id': 0, 'name': 'Official'}, 'allowed': False}, {'releaseStatus': {'id': 2, 'name': 'Bootleg'}, 'allowed': False}], 'id': 2}]
2023-02-28 04:58:43,540 -    ERROR - searcharr(140616673191744):462 - lidarr root folder path/id [/home/airsonic/music] is invalid!
2023-02-28 04:58:43,540 -  WARNING - searcharr(140616673191744):467 - No valid lidarr root folder(s) provided! Using all of the root folders I found in lidarr: [{'path': '/home/airsonic/Music/', 'freeSpace': 1016468987904, 'totalSpace': 1542233522176, 'id': 1}]
2023-02-28 04:59:31,965 -    ERROR - searcharr(140616590681856):1925 - Caught error: 'NoneType' object has no attribute 'from_user'
2023-02-28 05:00:10,339 -     INFO - searcharr(140353856337728):66 - Searcharr v3.2.1 - Logging started!
2023-02-28 05:00:10,460 -  WARNING - searcharr(140353856337728):120 - No valid Sonarr root folder(s) provided! Using all of the root folders I found in Sonarr: [{'path': '/home/some0nee/thicci/Shows/', 'freeSpace': 11646968762368, 'totalSpace': 15873736208384, 'id': 1}]
2023-02-28 05:00:10,472 -  WARNING - searcharr(140353856337728):216 - No valid Radarr root folder(s) provided! Using all of the root folders I found in Radarr: [{'path': '/home/some0nee/thicci/movies', 'freeSpace': 11646968762368, 'totalSpace': None, 'id': 3}]
2023-02-28 05:09:36,219 -     INFO - searcharr(140500552324928):67 - Searcharr v3.2.1 - Logging started!
2023-02-28 05:09:36,352 -  WARNING - searcharr(140500552324928):121 - No valid Sonarr root folder(s) provided! Using all of the root folders I found in Sonarr: [{'path': '/home/some0nee/thicci/Shows/', 'freeSpace': 11646968762368, 'totalSpace': 15873736208384, 'id': 1}]
2023-02-28 05:09:36,367 -  WARNING - searcharr(140500552324928):217 - No valid Radarr root folder(s) provided! Using all of the root folders I found in Radarr: [{'path': '/home/some0nee/thicci/movies', 'freeSpace': 11646968762368, 'totalSpace': None, 'id': 3}]
2023-02-28 05:09:36,434 -    ERROR - searcharr(140500552324928):434 - lidarr metadata profile id/name [] is invalid!
2023-02-28 05:09:36,434 -  WARNING - searcharr(140500552324928):441 - No valid lidarr metadata profile(s) provided! Using all of the metadata profiles I found in lidarr: [{'name': 'Standard', 'primaryAlbumTypes': [{'albumType': {'id': 2, 'name': 'Single'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Other'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'EP'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Broadcast'}, 'allowed': False}, {'albumType': {'id': 0, 'name': 'Album'}, 'allowed': True}], 'secondaryAlbumTypes': [{'albumType': {'id': 0, 'name': 'Studio'}, 'allowed': True}, {'albumType': {'id': 3, 'name': 'Spokenword'}, 'allowed': False}, {'albumType': {'id': 2, 'name': 'Soundtrack'}, 'allowed': False}, {'albumType': {'id': 7, 'name': 'Remix'}, 'allowed': False}, {'albumType': {'id': 9, 'name': 'Mixtape/Street'}, 'allowed': False}, {'albumType': {'id': 6, 'name': 'Live'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Interview'}, 'allowed': False}, {'albumType': {'id': 8, 'name': 'DJ-mix'}, 'allowed': False}, {'albumType': {'id': 10, 'name': 'Demo'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'Compilation'}, 'allowed': False}], 'releaseStatuses': [{'releaseStatus': {'id': 3, 'name': 'Pseudo-Release'}, 'allowed': False}, {'releaseStatus': {'id': 1, 'name': 'Promotion'}, 'allowed': False}, {'releaseStatus': {'id': 0, 'name': 'Official'}, 'allowed': True}, {'releaseStatus': {'id': 2, 'name': 'Bootleg'}, 'allowed': False}], 'id': 1}, {'name': 'None', 'primaryAlbumTypes': [{'albumType': {'id': 2, 'name': 'Single'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Other'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'EP'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Broadcast'}, 'allowed': False}, {'albumType': {'id': 0, 'name': 'Album'}, 'allowed': False}], 'secondaryAlbumTypes': [{'albumType': {'id': 0, 'name': 'Studio'}, 'allowed': False}, {'albumType': {'id': 3, 'name': 'Spokenword'}, 'allowed': False}, {'albumType': {'id': 2, 'name': 'Soundtrack'}, 'allowed': False}, {'albumType': {'id': 7, 'name': 'Remix'}, 'allowed': False}, {'albumType': {'id': 9, 'name': 'Mixtape/Street'}, 'allowed': False}, {'albumType': {'id': 6, 'name': 'Live'}, 'allowed': False}, {'albumType': {'id': 4, 'name': 'Interview'}, 'allowed': False}, {'albumType': {'id': 8, 'name': 'DJ-mix'}, 'allowed': False}, {'albumType': {'id': 10, 'name': 'Demo'}, 'allowed': False}, {'albumType': {'id': 1, 'name': 'Compilation'}, 'allowed': False}], 'releaseStatuses': [{'releaseStatus': {'id': 3, 'name': 'Pseudo-Release'}, 'allowed': False}, {'releaseStatus': {'id': 1, 'name': 'Promotion'}, 'allowed': False}, {'releaseStatus': {'id': 0, 'name': 'Official'}, 'allowed': False}, {'releaseStatus': {'id': 2, 'name': 'Bootleg'}, 'allowed': False}], 'id': 2}]
2023-02-28 05:09:36,434 -    ERROR - searcharr(140500552324928):462 - lidarr root folder path/id [/home/airsonic/music] is invalid!
2023-02-28 05:09:36,434 -  WARNING - searcharr(140500552324928):467 - No valid lidarr root folder(s) provided! Using all of the root folders I found in lidarr: [{'path': '/home/airsonic/Music/', 'freeSpace': 1016468381696, 'totalSpace': 1542233522176, 'id': 1}]
